,Name,Price,Alcohol,Bottle,Category,From,Variety,Winery,Score,Year
92,Philipponnat 2015  Champagne,N/A,12.0,750,Sparkling,Champagne,"Champagne Blend, Sparkling",Philipponnat,95 Points,2015
93,Pol Roger 2015 Vintage Brut  (Champagne),N/A,12.0,750,Sparkling,Champagne,"Champagne Blend, Sparkling",Pol Roger,95 Points,2015
94,Patz & Hall 2019 Chenoweth Ranch Pinot Noir (Russian River Valley),$65,14.0,750,Red,Sonoma,Pinot Noir,Patz & Hall,95 Points,2019
95,Stonestreet 2019 Upper Barn Vineyard Chardonnay (Alexander Valley),$150,14.0,750,White,Sonoma,Chardonnay,Stonestreet,95 Points,2019
96,Davies 2019 Renteria 360 Vineyard Cabernet Sauvignon (Oakville),$115,14.0,750,Red,Napa,Cabernet Sauvignon,Davies,95 Points,2019
97,Gallo Signature Series 2019 Gina Gallo Cabernet Sauvignon (Napa Valley),$55,14.0,750,Red,Napa,Cabernet Sauvignon,Gallo Signature Series,95 Points,2019
98,Iron Horse 2018 Russian River Cuvée Sparkling (Green Valley),$56,13.0,750,Sparkling,Sonoma,"Sparkling Blend, Sparkling",Iron Horse,95 Points,2018
99,Marqués de Riscal 2016 Gran Reserva  (Rioja),$45,15.0,750,Red,Northern Spain,Tempranillo,Marqués de Riscal,95 Points,2016
100,Stag's Leap Wine Cellars 2019 Cask 23 Cabernet Sauvignon (Stags Leap District),$315,14.0,750,Red,Napa,Cabernet Sauvignon,Stag's Leap Wine Cellars,95 Points,2019
101,Venge 2019 Bone Ash Vineyard Cabernet Sauvignon (Calistoga),$125,14.0,750,Red,Napa,Cabernet Sauvignon,Venge,95 Points,2019
102,Captûre 2019 Estate Vineyard Merlot (Pine Mountain-Cloverdale Peak),$65,14.0,750,Red,Sonoma,Merlot,Captûre,95 Points,2019
103,Cliff Lede 2019 Cabernet Sauvignon (Stags Leap District),$82,14.0,750,Red,Napa,Cabernet Sauvignon,Cliff Lede,95 Points,2019
104,Contino 2018 Reserva  (Rioja),$50,14.0,750,Red,Northern Spain,"Tempranillo Blend, Tempranillo",Contino,95 Points,2018
105,Devil Proof 2019 Rockpile Ridge Malbec (Rockpile),$275,15.0,750,Red,Sonoma,Malbec,Devil Proof,95 Points,2019
106,Pago de Carraovejas 2018 El Anejón  (Ribera del Duero),$150,15.0,750,Red,Northern Spain,"Red Blends, Red Blends",Pago de Carraovejas,95 Points,2018
107,Torelló 2015 Brut Nature Tradicional Sparkling (Penedès),$29,11.0,750,Sparkling,Catalonia,"Sparkling Blend, Sparkling",Torelló,95 Points,2015
108,Hunnicutt 2019 Brinkman Block Cabernet Sauvignon (Rutherford),N/A,14.0,750,Red,Napa,Cabernet Sauvignon,Hunnicutt,95 Points,2019
109,Kosta Browne 2020 One-Sixteen Chardonnay (Russian River Valley),$85,13.0,750,White,Sonoma,Chardonnay,Kosta Browne,95 Points,2020
110,Mirror 2019 Stagecoach Vineyard Cabernet Sauvignon (Napa Valley),N/A,15.0,750,Red,Napa,Cabernet Sauvignon,Mirror,95 Points,2019
111,Tedeschi 2016 Maternigo Riserva  (Amarone della Valpolicella),$175,17.0,750,Red,Veneto,"Red Blends, Red Blends",Tedeschi,95 Points,2016
112,Tres Perlas 2021 Daughters Brown Ranch Rosé of Pinot Noir (Los Carneros),$50,13.0,750,Rose,Napa-Sonoma,Pinot Noir,Tres Perlas,95 Points,2021
113,Ancien 2019 Red Dog Pinot Noir (Sonoma Mountain),$65,14.0,750,Red,Sonoma,Pinot Noir,Ancien,95 Points,2019
114,Gary Farrell 2019 Rochioli Vineyard Pinot Noir (Russian River Valley),$85,14.0,750,Red,Sonoma,Pinot Noir,Gary Farrell,95 Points,2019
115,LVE 2019 Legend Vineyard Exclusive Cabernet Sauvignon (Napa Valley),$85,14.0,750,Red,Napa,Cabernet Sauvignon,LVE,95 Points,2019
116,Taub Family Vineyards 2018 Beckstoffer Missouri Hopper Vineyard Cabernet Sauvignon (Napa Valley),$125,14.0,750,Red,Napa,Cabernet Sauvignon,Taub Family Vineyards,95 Points,2018
117,Tedeschi 2016 Capitel Monte Olmi Riserva  (Amarone della Valpolicella Classico),$99,17.0,750,Red,Veneto,"Red Blends, Red Blends",Tedeschi,95 Points,2016
118,Peter Zemmer 2019 Giatl Reserva Pinot Grigio (Alto Adige),$42,14.0,750,White,Northeastern Italy,Pinot Grigio,Peter Zemmer,95 Points,2019
119,Medlock Ames 2019 Stonebreaker Cabernet Franc (Alexander Valley),N/A,15.0,750,Red,Sonoma,Cabernet Franc,Medlock Ames,95 Points,2019
120,Muga 2016 Selección Especial  (Rioja),N/A,14.0,750,Red,Northern Spain,"Tempranillo Blend, Tempranillo",Muga,95 Points,2016
121,Terre Rouge 2019 L'Autre Red (Sierra Foothills),$40,14.0,750,Red,Sierra Foothills,Rhône-style Red Blend,Terre Rouge,95 Points,2019
122,Ukan 2018  Rioja,$110,13.0,750,Red,Northern Spain,Tempranillo,Ukan,95 Points,2018
123,Vega Sicilia 2018 Alion  (Ribera del Duero),$126,15.0,750,Red,Northern Spain,"Tinto Fino, Tempranillo",Vega Sicilia,95 Points,2018
124,Chappellet 2021 Signature Chenin Blanc (Napa Valley),$65,14.0,750,White,Napa,Chenin Blanc,Chappellet,95 Points,2021
125,Copain Wines 2019 Brosseau Syrah (Chalone),$60,13.0,750,Red,Central Coast,Syrah,Copain Wines,95 Points,2019
126,Macauley 2019 Beckstoffer To Kalon Cabernet Franc (Napa Valley),$250,15.0,750,Red,Napa,Cabernet Franc,Macauley,95 Points,2019
127,Stolpman 2019 The Great Places Ruben Solorzano Syrah (Ballard Canyon),$98,14.0,750,Red,Central Coast,Syrah,Stolpman,95 Points,2019
128,Stolpman 2020 Hair of the Bear Red (Ballard Canyon),$52,14.0,750,Red,Central Coast,"Red Blends, Red Blends",Stolpman,95 Points,2020
